146 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.3.0.32 , 10.50.23.79 , UDP , 53 , 53363 
92 , dc:e:a1:f6:fd:68 , 48:45:20:44:0:9d , IPv4 , 10.50.21.103 , 10.50.23.255 , UDP , 137 , 137 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
167 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv4 , 10.50.20.228 , 239.255.255.250 , UDP , 54958 , 1900 
216 , 20:47:47:55:af:19 , 48:45:20:44:0:9d , IPv4 , 10.50.23.148 , 239.255.255.250 , UDP , 58446 , 1900 
167 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv4 , 10.50.20.228 , 239.255.255.250 , UDP , 54958 , 1900 
54 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 10.10.54.4 , TCP , 36776 , 8090 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.10.54.4 , 10.50.23.79 , TCP , 8090 , 36776 
176 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv4 , 10.50.23.200 , 255.255.255.255 , UDP , 17500 , 17500 
176 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv4 , 10.50.23.200 , 255.255.255.255 , UDP , 17500 , 17500 
176 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv4 , 10.50.23.200 , 255.255.255.255 , UDP , 17500 , 17500 
176 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv4 , 10.50.23.200 , 10.50.23.255 , UDP , 17500 , 17500 
176 , 30:e3:7a:1:f4:50 , 48:45:20:44:0:9d , IPv4 , 10.50.23.200 , 255.255.255.255 , UDP , 17500 , 17500 
103 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv4 , 10.50.20.228 , 224.0.0.251 , UDP , 5353 , 5353 
70 , f4:f5:db:a9:fa:e1 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 246.245.219.255 , Unknown/Not Supported , 65193 , 64225 
317 , 20:47:47:55:af:19 , 48:45:20:44:0:9d , IPv4 , 10.50.23.148 , 239.255.255.250 , UDP , 63256 , 1900 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 255.255.255.255 , UDP , 17500 , 17500 
176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 10.50.23.255 , UDP , 17500 , 17500 
176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 255.255.255.255 , UDP , 17500 , 17500 
176 , fc:3f:db:34:62:3f , 48:45:20:44:0:9d , IPv4 , 10.50.21.207 , 255.255.255.255 , UDP , 17500 , 17500 
60 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , ARP , 97.50.10.50 , 20.1.0.0 , Unknown/Not Supported , 0 , 0 
103 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv4 , 10.50.20.228 , 224.0.0.251 , UDP , 5353 , 5353 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
123 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 16.130.113.190 , Unknown/Not Supported , 10347 , 9806 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
216 , 20:47:47:55:af:19 , 48:45:20:44:0:9d , IPv4 , 10.50.23.148 , 239.255.255.250 , UDP , 58446 , 1900 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
63 , 2c:60:c:eb:54:aa , 48:45:20:44:0:9d , IPv4 , 10.50.23.162 , 10.50.23.255 , UDP , 55458 , 32412 
63 , 2c:60:c:eb:54:aa , 48:45:20:44:0:9d , IPv4 , 10.50.23.162 , 10.50.23.255 , UDP , 55459 , 32414 
170 , f4:8e:38:f3:d7:bc , 48:45:20:44:0:9d , IPv4 , 10.50.23.23 , 10.50.23.255 , UDP , 58761 , 50007 
60 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.22 , IGMP , 37892 , 0 
90 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
60 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.22 , IGMP , 37892 , 0 
90 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
60 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.22 , IGMP , 37892 , 0 
90 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
60 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.22 , IGMP , 37892 , 0 
90 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
60 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.22 , IGMP , 37892 , 0 
90 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
60 , 2e:d9:56:3d:9f:f7 , 48:45:20:44:0:9d , ARP , 159.247.10.50 , 22.201.0.0 , Unknown/Not Supported , 0 , 0 
64 , 70:1c:e7:d8:dc:81 , 48:45:20:44:0:9d , IPv4 , 10.50.20.177 , 224.0.0.252 , UDP , 60743 , 5355 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
331 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
529 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 41.50.247.130 , Unknown/Not Supported , 18343 , 43577 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
497 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
298 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 224.0.0.251 , UDP , 52709 , 5353 
103 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv4 , 10.50.20.228 , 224.0.0.251 , UDP , 5353 , 5353 
123 , 2c:33:61:68:c9:46 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 16.130.113.190 , Unknown/Not Supported , 10347 , 9806 
342 , 64:db:43:49:9b:b9 , 48:45:20:44:0:9d , IPv4 , 0.0.0.0 , 255.255.255.255 , UDP , 68 , 67 
353 , 64:db:43:49:9b:b9 , 48:45:20:44:0:9d , IPv4 , 0.0.0.0 , 255.255.255.255 , UDP , 68 , 67 
70 , 64:db:43:49:9b:b9 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 102.219.67.255 , Unknown/Not Supported , 65097 , 39865 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , 64:db:43:49:9b:b9 , 48:45:20:44:0:9d , ARP , 155.185.10.50 , 20.235.0.0 , Unknown/Not Supported , 0 , 0 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
103 , ac:c1:ee:69:3c:31 , 48:45:20:44:0:9d , IPv4 , 10.50.20.239 , 224.0.0.251 , UDP , 5353 , 5353 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , ARP , 101.56.169.254 , 72.223.0.0 , Unknown/Not Supported , 0 , 0 
87 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
347 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 0.0.0.0 , 255.255.255.255 , UDP , 68 , 67 
90 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 224.0.0.22 , IGMP , 37892 , 0 
90 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 224.0.0.22 , IGMP , 37892 , 0 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , ARP , 192.236.10.50 , 21.39.0.0 , Unknown/Not Supported , 0 , 0 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , ARP , 192.236.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
70 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 224.0.0.22 , IGMP , 37892 , 0 
67 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 224.0.0.252 , UDP , 64863 , 5355 
70 , 0:ec:a:22:28:a7 , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 2.236.10.255 , Unknown/Not Supported , 65058 , 10407 
78 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
62 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
150 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
669 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
104 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
216 , 1c:4d:70:bf:45:32 , 48:45:20:44:0:9d , IPv4 , 10.50.23.233 , 239.255.255.250 , UDP , 61548 , 1900 
179 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 239.255.255.250 , UDP , 54907 , 1900 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
149 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
104 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
112 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
112 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
87 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
67 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 224.0.0.252 , UDP , 64863 , 5355 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
170 , f4:8e:38:f3:d7:bc , 48:45:20:44:0:9d , IPv4 , 10.50.23.23 , 10.50.23.255 , UDP , 58761 , 50007 
62 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 224.0.0.22 , IGMP , 37892 , 0 
130 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
103 , ac:c1:ee:69:3c:31 , 48:45:20:44:0:9d , IPv4 , 10.50.20.239 , 224.0.0.251 , UDP , 5353 , 5353 
365 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , IPv4 , 0.0.0.0 , 255.255.255.255 , UDP , 68 , 67 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , ARP , 101.56.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , ARP , 192.236.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
86 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
60 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , ARP , 101.56.10.50 , 20.251.0.0 , Unknown/Not Supported , 0 , 0 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
60 , 10:da:43:1:73:27 , 48:45:20:44:0:9d , Unkwown/Not Supported , 67.1.115.38 , 0.0.0.0 , Unknown/Not Supported , 32768 , 4314 
103 , ac:c1:ee:69:3c:31 , 48:45:20:44:0:9d , IPv4 , 10.50.20.239 , 224.0.0.251 , UDP , 5353 , 5353 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
149 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , ARP , 192.236.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
60 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , ARP , 101.56.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
75 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 10.20.1.22 , UDP , 53363 , 53 
230 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
285 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.20.1.22 , 10.50.23.79 , UDP , 53 , 53363 
75 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 10.20.1.22 , UDP , 53363 , 53 
481 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
137 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 10.20.1.22 , 10.50.23.79 , UDP , 53 , 53363 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
146 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
240 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
113 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
112 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
66 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
112 , 48:45:20:44:0:9d , 50:eb:1a:90:61:32 , IPv4 , 10.50.23.79 , 172.217.163.46 , TCP , 49044 , 443 
66 , 50:eb:1a:90:61:32 , 48:45:20:44:0:9d , IPv4 , 172.217.163.46 , 10.50.23.79 , TCP , 443 , 49044 
63 , 2c:60:c:eb:54:aa , 48:45:20:44:0:9d , IPv4 , 10.50.23.162 , 10.50.23.255 , UDP , 55458 , 32412 
63 , 2c:60:c:eb:54:aa , 48:45:20:44:0:9d , IPv4 , 10.50.23.162 , 10.50.23.255 , UDP , 55459 , 32414 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , ARP , 101.56.0.0 , 0.0.0.0 , Unknown/Not Supported , 0 , 0 
60 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , ARP , 192.236.10.50 , 21.39.0.0 , Unknown/Not Supported , 0 , 0 
179 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 10.50.21.39 , 239.255.255.250 , UDP , 54907 , 1900 
347 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv4 , 0.0.0.0 , 255.255.255.255 , UDP , 68 , 67 
216 , a4:5d:36:71:62:29 , 48:45:20:44:0:9d , IPv4 , 10.50.23.45 , 239.255.255.250 , UDP , 61731 , 1900 
216 , c8:5b:76:8f:e6:76 , 48:45:20:44:0:9d , IPv4 , 10.50.22.164 , 239.255.255.250 , UDP , 60280 , 1900 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
60 , ec:59:e7:fc:65:38 , 48:45:20:44:0:9d , ARP , 101.56.10.50 , 20.251.0.0 , Unknown/Not Supported , 0 , 0 
170 , f4:8e:38:f3:d7:bc , 48:45:20:44:0:9d , IPv4 , 10.50.23.23 , 10.50.23.255 , UDP , 58761 , 50007 
70 , 30:e3:7a:ed:c0:ec , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 216.224.20.71 , Unknown/Not Supported , 41137 , 61789 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
60 , a0:32:99:4d:8f:7e , 48:45:20:44:0:9d , ARP , 143.126.10.50 , 23.110.0.0 , Unknown/Not Supported , 0 , 0 
305 , 10:7b:44:2e:f3:d , 48:45:20:44:0:9d , IPv4 , 10.50.23.158 , 10.50.23.255 , UDP , 54915 , 54915 
167 , ac:c1:ee:69:3c:31 , 48:45:20:44:0:9d , IPv4 , 10.50.20.239 , 239.255.255.250 , UDP , 54941 , 1900 
90 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 176.59.227.68 , Unknown/Not Supported , 38610 , 61 
90 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv6 , 0.0.0.0 , 176.59.227.68 , Unknown/Not Supported , 38610 , 61 
60 , 3c:f8:62:71:93:dc , 48:45:20:44:0:9d , IPv4 , 10.50.23.231 , 224.0.0.22 , IGMP , 37892 , 0 
